"isono","year","sexno","ageno","eduno","podr"
380,2095,0,0,0,0.151
384,2010,0,0,0,0.048
384,2015,0,0,0,0.05
384,2020,0,0,0,0.053
384,2025,0,0,0,0.053
384,2030,0,0,0,0.055
384,2035,0,0,0,0.055
384,2040,0,0,0,0.06
384,2045,0,0,0,0.066
384,2050,0,0,0,0.075
384,2055,0,0,0,0.085
384,2060,0,0,0,0.095
384,2065,0,0,0,0.103
384,2070,0,0,0,0.111
384,2075,0,0,0,0.121
384,2080,0,0,0,0.128
384,2085,0,0,0,0.135
384,2090,0,0,0,0.141
384,2095,0,0,0,0.144
388,2010,0,0,0,0.062
388,2015,0,0,0,0.06
388,2020,0,0,0,0.059
388,2025,0,0,0,0.065
388,2030,0,0,0,0.072
388,2035,0,0,0,0.083
388,2040,0,0,0,0.1
388,2045,0,0,0,0.114
388,2050,0,0,0,0.123
388,2055,0,0,0,0.126
388,2060,0,0,0,0.127
388,2065,0,0,0,0.13
388,2070,0,0,0,0.135
388,2075,0,0,0,0.146
388,2080,0,0,0,0.157
388,2085,0,0,0,0.16
388,2090,0,0,0,0.16
388,2095,0,0,0,0.16
392,2010,0,0,0,0.122
392,2015,0,0,0,0.133
392,2020,0,0,0,0.143
392,2025,0,0,0,0.16
392,2030,0,0,0,0.17
392,2035,0,0,0,0.17
392,2040,0,0,0,0.168
392,2045,0,0,0,0.168
392,2050,0,0,0,0.172
392,2055,0,0,0,0.185
392,2060,0,0,0,0.195
392,2065,0,0,0,0.198
392,2070,0,0,0,0.197
392,2075,0,0,0,0.191
392,2080,0,0,0,0.183
392,2085,0,0,0,0.177
392,2090,0,0,0,0.174
392,2095,0,0,0,0.172
398,2010,0,0,0,0.076
398,2015,0,0,0,0.073
398,2020,0,0,0,0.078
398,2025,0,0,0,0.087
398,2030,0,0,0,0.097
398,2035,0,0,0,0.102
398,2040,0,0,0,0.104
398,2045,0,0,0,0.106
398,2050,0,0,0,0.109
398,2055,0,0,0,0.114
398,2060,0,0,0,0.125
398,2065,0,0,0,0.134
398,2070,0,0,0,0.134
398,2075,0,0,0,0.13
398,2080,0,0,0,0.13
398,2085,0,0,0,0.141
398,2090,0,0,0,0.151
398,2095,0,0,0,0.158
400,2010,0,0,0,0.037
400,2015,0,0,0,0.036
400,2020,0,0,0,0.036
400,2025,0,0,0,0.035
400,2030,0,0,0,0.035
400,2035,0,0,0,0.037
400,2040,0,0,0,0.041
400,2045,0,0,0,0.05
400,2050,0,0,0,0.058
400,2055,0,0,0,0.067
400,2060,0,0,0,0.079
400,2065,0,0,0,0.091
400,2070,0,0,0,0.101
400,2075,0,0,0,0.109
400,2080,0,0,0,0.115
400,2085,0,0,0,0.122
400,2090,0,0,0,0.127
400,2095,0,0,0,0.13
404,2010,0,0,0,0.032
404,2015,0,0,0,0.033
404,2020,0,0,0,0.036
404,2025,0,0,0,0.037
404,2030,0,0,0,0.04
404,2035,0,0,0,0.042
404,2040,0,0,0,0.047
404,2045,0,0,0,0.054
404,2050,0,0,0,0.063
404,2055,0,0,0,0.071
404,2060,0,0,0,0.076
404,2065,0,0,0,0.081
404,2070,0,0,0,0.086
404,2075,0,0,0,0.094
404,2080,0,0,0,0.102
404,2085,0,0,0,0.11
404,2090,0,0,0,0.117
404,2095,0,0,0,0.121
408,2010,0,0,0,0.114
408,2015,0,0,0,0.11
408,2020,0,0,0,0.101
408,2025,0,0,0,0.111
408,2030,0,0,0,0.116
408,2035,0,0,0,0.135
408,2040,0,0,0,0.157
408,2045,0,0,0,0.162
408,2050,0,0,0,0.157
408,2055,0,0,0,0.161
408,2060,0,0,0,0.163
408,2065,0,0,0,0.171
408,2070,0,0,0,0.185
408,2075,0,0,0,0.195
408,2080,0,0,0,0.2
408,2085,0,0,0,0.201
408,2090,0,0,0,0.201
408,2095,0,0,0,0.203
410,2010,0,0,0,0.07
410,2015,0,0,0,0.079
410,2020,0,0,0,0.088
410,2025,0,0,0,0.098
410,2030,0,0,0,0.114
410,2035,0,0,0,0.14
410,2040,0,0,0,0.161
410,2045,0,0,0,0.179
410,2050,0,0,0,0.194
410,2055,0,0,0,0.202
410,2060,0,0,0,0.206
410,2065,0,0,0,0.209
410,2070,0,0,0,0.204
410,2075,0,0,0,0.206
410,2080,0,0,0,0.213
410,2085,0,0,0,0.21
410,2090,0,0,0,0.2
410,2095,0,0,0,0.193
414,2010,0,0,0,0.026
414,2015,0,0,0,0.026
414,2020,0,0,0,0.025
414,2025,0,0,0,0.03
414,2030,0,0,0,0.039
414,2035,0,0,0,0.049
414,2040,0,0,0,0.065
414,2045,0,0,0,0.081
